,rowCol,traffic_spot,industry,commercial,nala
417.0,"(3, 2)",2.9925339364749797,12.325348380346508,0.0004334845287644931,0.006738628131440315
455.0,"(4, 11)",3.120316311275127,10.478834550090513,0.0008938653839031778,0.008274810789645324
456.0,"(4, 10)",3.0486182273051554,10.619609829535824,0.0008105643383820964,0.008150978152475494
457.0,"(4, 9)",3.0061335385351713,10.768806855047126,0.0007269471776563354,0.008020705959231055
458.0,"(4, 8)",2.941868452886418,10.92839246244451,0.0006590240546295794,0.007884134138304962
459.0,"(4, 7)",2.818216539509426,11.100420548946628,0.0006053364347239929,0.007741631579904187
460.0,"(4, 6)",2.889377556155269,11.28701054111459,0.0005620028358091069,0.007593773791173012
461.0,"(4, 5)",2.9567137575291755,11.49034271965744,0.0005260190089333955,0.00744130496268214
462.0,"(4, 4)",2.974938826495743,11.712669543445015,0.0004953777759683389,0.007285091805827159
463.0,"(4, 3)",2.9822258000767174,11.956336419158001,0.0004687572308752367,0.007126075214963824
464.0,"(4, 2)",2.986061457273738,12.223799899127421,0.0004452670303419889,0.00696522431525386
501.0,"(5, 12)",3.170387170739912,10.31111525258993,0.0012789674959141956,0.008773840272803434
502.0,"(5, 11)",3.123680448291415,10.439674337054258,0.0011779322247652648,0.008645099288163725
503.0,"(5, 10)",3.0768628328461705,10.574340133066217,0.0009488510059280116,0.008509473635221799
504.0,"(5, 9)",3.020609626422542,10.717037906131084,0.0007985237555045316,0.008366667306563163
505.0,"(5, 8)",2.9738843092870706,10.869779409474482,0.0007027543941884999,0.008216735167899766
506.0,"(5, 7)",2.9456426440713073,11.034600820895518,0.0006357955723733563,0.008060066550744989
507.0,"(5, 6)",2.9503158554810858,11.21351797868675,0.0005851038263336405,0.007897339777808586
508.0,"(5, 5)",2.9682974463511798,11.40850447961025,0.0005444884560358848,0.00772945946279933
509.0,"(5, 4)",2.976114023739729,11.621488397234085,0.0005106425090176234,0.007557486714503546
510.0,"(5, 3)",2.976420591418424,11.85435496340712,0.00048165235699563157,0.00738257012641272
511.0,"(5, 2)",2.9726566960098593,12.108936094622997,0.0004563285310813346,0.007205883081871143
512.0,"(5, 1)",2.9722844571679126,12.386961035094851,0.0004338844545289052,0.007028570781659052
513.0,"(5, 0)",2.9821592230105027,12.68993176110087,0.00041377194164944804,0.0068517086589154515
545.0,"(6, 15)",3.248522807115462,9.926900160433698,0.0009147327720506243,0.009576023083833167
546.0,"(6, 14)",3.2479162360701417,10.04252994904784,0.0010278882046896604,0.009450422099913952
547.0,"(6, 13)",3.218043098924427,10.158851792803944,0.001338284966285959,0.009321565587366711
548.0,"(6, 12)",3.1816752848157934,10.277232878627022,0.0030618974776405496,0.009187629953754162
549.0,"(6, 11)",3.203721572479844,10.399323894944258,0.0018068561374778712,0.009047079991333489
550.0,"(6, 10)",3.0964948594111075,10.52701304226319,0.001081522421916353,0.008898832031440845
551.0,"(6, 9)",3.0047302732128394,10.662338478971364,0.0008545941431176798,0.008742327483128814
552.0,"(6, 8)",2.9257886224596126,10.80738034378638,0.0007370006125257453,0.008577535742173766
553.0,"(6, 7)",2.967440136929788,10.964160426624607,0.0006607168687379492,0.008404905066276825
554.0,"(6, 6)",2.975755427307805,11.134571533827875,0.0006047949584539199,0.008225279700074346
555.0,"(6, 5)",2.9775152568165737,11.320343119679825,0.000560704633736897,0.008039799933773916
556.0,"(6, 4)",2.975061439147723,11.523033279760652,0.0005243119267614763,0.007849798748692117
557.0,"(6, 3)",2.966339521751366,11.744026087596788,0.0004933482202435809,0.007656704949449963
558.0,"(6, 2)",2.9445237779902422,11.984508088577966,0.00046644382074442905,0.007461959058753348
559.0,"(6, 1)",2.9236264865786055,12.245394852056712,0.0004427069951306293,0.007266945274663258
560.0,"(6, 0)",2.955202684059713,12.527173277335368,0.00042152141783727303,0.007072940569729471
591.0,"(7, 16)",3.3774391847709686,9.798437157071538,0.0009061179486109852,0.010202907753306456
592.0,"(7, 15)",3.2474780318797896,9.910339648921957,0.0009520905735823325,0.010062613124702855
593.0,"(7, 14)",3.182985380714399,10.021053487008704,0.0010518606312858794,0.009923912034380498
594.0,"(7, 13)",3.097190697378224,10.131619823978319,0.0012964577176561574,0.009783425930042944
595.0,"(7, 12)",3.1150466798755057,10.243438177321263,0.0019042715784318366,0.009638088269761088
596.0,"(7, 11)",3.1115871401957595,10.358271870105126,0.001547707665857105,0.00948544544849697
597.0,"(7, 10)",3.0679125228633777,10.478177323038395,0.0010749224582445995,0.009323815311217822
598.0,"(7, 9)",2.9926369979505343,10.605364459877388,0.0008701388238450904,0.009152333364986855
599.0,"(7, 8)",2.9299376493064577,10.74202528396766,0.0007550882906128241,0.008970911131078382
600.0,"(7, 7)",2.9781113325914452,10.890181163432631,0.0006777899500944838,0.008780131766670567
601.0,"(7, 6)",2.986117166685379,11.051585833052927,0.000620078446270088,0.00858110882018082
602.0,"(7, 5)",2.9775723281983066,11.22769036361554,0.0005741422173766525,0.008375331594513497
603.0,"(7, 4)",2.9679140950472678,11.419648475493393,0.000536060683590633,0.008164515261608971
604.0,"(7, 3)",2.955003140710728,11.628327745873369,0.0005036188100556549,0.007950467534751109
605.0,"(7, 2)",2.9095076476969823,11.854292651696907,0.0004754441853090413,0.007734978180061189
606.0,"(7, 1)",2.5727035079569442,12.097730445958089,0.0004506232920161556,0.0075197336949522535
607.0,"(7, 0)",2.9275956894386894,12.358293875725415,0.0004285135076861605,0.007306256925571705
636.0,"(8, 18)",3.3400767372836437,9.565297759194289,0.0009356665093389577,0.011097538689409457
637.0,"(8, 17)",3.419460839836041,9.678433660470308,0.0009344740587457917,0.010912819182736098
638.0,"(8, 16)",3.3199160844338933,9.788539062661778,0.0009446798494849148,0.010745056769202118
639.0,"(8, 15)",3.215394808761511,9.895977666757776,0.00097301297577336,0.010588748415066285
640.0,"(8, 14)",3.170058791670178,10.001344451455285,0.0010295306970763923,0.01043789845994917
641.0,"(8, 13)",3.121085038603462,10.10560008304234,0.0011227050018929458,0.010286867819557382
642.0,"(8, 12)",2.936703581197029,10.210174847052883,0.001205555360431208,0.010130866553729577
643.0,"(8, 11)",3.041575405682522,10.316989908112074,0.0011388188472441338,0.009966230905186394
644.0,"(8, 10)",3.0323198290686464,10.42835443791289,0.0009835919706253453,0.0097905431734045
645.0,"(8, 9)",2.9516287567584705,10.546744472749847,0.0008541466854226429,0.009602620333400078
646.0,"(8, 8)",2.9508970142978477,10.674531195100155,0.0007593457156278586,0.009402395319656122
647.0,"(8, 7)",2.9979588602706304,10.813754148176866,0.000687739333343431,0.009190723582016776
648.0,"(8, 6)",2.996456685249304,10.966002627814365,0.0006311538786540894,0.00896915264113535
649.0,"(8, 5)",2.9530222112494173,11.132404223521291,0.0005848024443178436,0.0087396886224121
650.0,"(8, 4)",2.9393813717767805,11.313672375927231,0.0005458149766607222,0.008504583593929
651.0,"(8, 3)",2.9470100064319267,11.510155380927957,0.0005123670936160019,0.008266156389868115
652.0,"(8, 2)",2.9147522199996176,11.721844103468003,0.00048323155893664337,0.008026651308810421
653.0,"(8, 1)",2.8923472865476594,11.948313980789566,0.00045754317749633396,0.007788134397505364
654.0,"(8, 0)",2.929387642684703,12.188588567761306,0.0004346688118151404,0.0075524247504709825
682.0,"(9, 19)",3.3193154053171616,9.452043844324956,0.0010221385500828234,0.01200188761975552
683.0,"(9, 18)",3.296460694734009,9.565355074989997,0.0010014229430698033,0.011739476066045607
684.0,"(9, 17)",3.2594337506646647,9.675083070141264,0.0009872435543757658,0.011518218600667474
685.0,"(9, 16)",3.2309585190061143,9.781263997206484,0.0009836497581712286,0.011327908013478945
686.0,"(9, 15)",3.212400620083284,9.88401887214436,0.0009928241823279988,0.011157687719749593
687.0,"(9, 14)",3.176092157424994,9.983719561809059,0.0010141284969933453,0.010997428755044515
688.0,"(9, 13)",3.1275463888881636,10.08118724289667,0.0010392097796520729,0.010838362778298805
689.0,"(9, 12)",3.074412883586266,10.17787107698768,0.0010437039123883487,0.010673418245255082
690.0,"(9, 11)",3.0411658429289745,10.275913398525699,0.0010009268865968323,0.010497402718187797
691.0,"(9, 10)",2.998445028044518,10.378008181537414,0.0009213016711279614,0.010307046926669408
692.0,"(9, 9)",2.9826112430001093,10.487045688874675,0.0008353445493512237,0.010100899329431014
693.0,"(9, 8)",2.997839805530202,10.605672164883972,0.000758585195687994,0.009879083382708653
694.0,"(9, 7)",3.0336237384414444,10.73595515620236,0.0006936797820963317,0.00964296281378141
695.0,"(9, 6)",3.0281442397559934,10.879262777670416,0.0006391975965485802,0.009394775585953852
696.0,"(9, 5)",2.9533814919931825,11.036324219828044,0.0005931222649321381,0.009137288648614796
697.0,"(9, 4)",2.9416717487384783,11.207363335978602,0.0005537117863910929,0.008873503794648562
698.0,"(9, 3)",2.9512050166260617,11.392210310419458,0.0005196064794939916,0.00860642443565298
699.0,"(9, 2)",2.8691790952827327,11.59034400385245,0.0004897704878480376,0.008338881344611374
700.0,"(9, 1)",2.824097136530773,11.800854362542179,0.0004634147326059032,0.008073411615016806
701.0,"(9, 0)",2.9188546706270384,12.022330947931989,0.0004399329042092558,0.007812184819003658
726.0,"(10, 22)",3.435514516349058,9.106401268194656,0.001204689535543078,0.0143330452396929
727.0,"(10, 21)",3.4107366129341163,9.227459567881269,0.0011932673692937185,0.013702908586896647
728.0,"(10, 20)",3.3834741905270804,9.344668525223666,0.0011624317329492328,0.013170260099192733
729.0,"(10, 19)",3.325784584690243,9.458242838880004,0.001119539971517013,0.012748017799267661
730.0,"(10, 18)",3.2764925278162256,9.568198512864202,0.0010775942479099737,0.012419334271787104
731.0,"(10, 17)",3.19035609589931,9.674391165565897,0.0010458573796871518,0.012161299720668818
732.0,"(10, 16)",3.181584492256021,9.77658758058398,0.001027776257918247,0.01195226598309692
733.0,"(10, 15)",3.222542921396461,9.874592880356474,0.001022506543544852,0.011773493371563522
734.0,"(10, 14)",3.1975940160813283,9.968456778026171,0.0010249893509426916,0.01160925202288214
735.0,"(10, 13)",3.1213733674918878,10.0587621355695,0.0010247026752962544,0.011446704311289461
736.0,"(10, 12)",3.069462703609449,10.146936323260627,0.0010073530632038682,0.011275884933527623
737.0,"(10, 11)",3.029523496135732,10.23542465540694,0.0009640821243870961,0.011089739291475428
738.0,"(10, 10)",2.900315891268649,10.327514352685267,0.0009000587974825116,0.010884079668981368
739.0,"(10, 9)",3.012246161435317,10.426746283452536,0.0008285886253554828,0.010657349869850329
740.0,"(10, 8)",3.0463926412249402,10.536170815004041,0.0007600104167462313,0.010410186208329347
741.0,"(10, 7)",3.108673689687814,10.657854617475312,0.0006987508380126595,0.010144854393859697
742.0,"(10, 6)",3.112533494037512,10.792819194479618,0.0006455479867996211,0.009864675060492652
743.0,"(10, 5)",3.0441456596291787,10.941269123109922,0.0005996585215152083,0.009573523222620936
744.0,"(10, 4)",3.11496554996193,11.102871819878022,0.0005599666530015418,0.009275435637490344
745.0,"(10, 3)",2.9855952429082078,11.276947037048876,0.0005254028916185165,0.008974321569908383
746.0,"(10, 2)",2.8471235075430097,11.46253585689375,0.0004950622321194435,0.008673758867351913
747.0,"(10, 1)",2.74866633218273,11.65837126269038,0.0004682127599584644,0.008376860014537277
748.0,"(10, 0)",2.9221825328931934,11.862781494054968,0.0004442714005992889,0.008086198718978402
770.0,"(11, 25)",3.0362051884669654,8.753658292838681,0.0013167230249788405,0.01817053308381275
771.0,"(11, 24)",3.4091471326778993,8.883028801623201,0.0013546552234874824,0.01836406741405038
772.0,"(11, 23)",3.599251160881202,9.007399386391555,0.0013843375161124221,0.017300986438784857
773.0,"(11, 22)",3.474134428651967,9.127548389381234,0.0014007774654269268,0.015944597114364363
774.0,"(11, 21)",3.8287697175334396,9.244027754843122,0.0013898800159376956,0.014857499003241752
775.0,"(11, 20)",3.389914980046954,9.357154140102077,0.0013314284436404908,0.014074141865840524
776.0,"(11, 19)",3.3127113883745025,9.467006499285525,0.0012444243982431115,0.013519722172869413
777.0,"(11, 18)",3.270591068828156,9.573430238162157,0.0011657174752459246,0.013124619215235514
778.0,"(11, 17)",3.2346572093045167,9.676055359260678,0.001110203682479609,0.0128370778056115
779.0,"(11, 16)",3.225509166131787,9.774346685778244,0.0010783132184650128,0.0126191201543905
780.0,"(11, 15)",3.2734389535043067,9.867719904179893,0.0010660188755293727,0.012441933242973161
781.0,"(11, 14)",3.3201999600749166,9.955774345028187,0.0010655447323418153,0.012282928251704954
782.0,"(11, 13)",3.1029156089885666,10.038691039813482,0.001062276375218545,0.01212428244915931
783.0,"(11, 12)",3.0136548312759457,10.117766674449802,0.0010374424439837326,0.011952457572890348
784.0,"(11, 11)",2.997828233357621,10.195839336685996,0.000983609302644782,0.011758167553133643
785.0,"(11, 10)",3.03764435531846,10.277128817606132,0.000911612467241303,0.01153631879166719
786.0,"(11, 9)",3.054346046822663,10.366221054612238,0.0008363142787734455,0.011285616491214654
787.0,"(11, 8)",3.080722362191981,10.466730067448026,0.0007663148261450347,0.011007798575987316
788.0,"(11, 7)",3.091848248662842,10.580584199079036,0.000704510817132548,0.01070668178948295
789.0,"(11, 6)",3.0775981708978435,10.708203705445214,0.0006509751551295547,0.010387259030321474
790.0,"(11, 5)",3.0497819581442482,10.8490774785961,0.0006047646840023325,0.0100549925925351
791.0,"(11, 4)",3.059261999766752,11.002248687592521,0.0005647293727715696,0.009715321602829246
792.0,"(11, 3)",2.9963100601289394,11.166560888052832,0.0005298093390543334,0.009373332640967295
793.0,"(11, 2)",2.9471376917485594,11.340715097242406,0.0004991147042034515,0.00903353945044556
794.0,"(11, 1)",2.9316333269268267,11.523219884028668,0.00047192489971643447,0.008699743642270368
814.0,"(12, 28)",3.3377204410875803,8.39965317360701,0.0013395388805147114,0.015898146990805235
815.0,"(12, 27)",3.371265003878843,8.53934214587511,0.001417785598077822,0.017632270705275226
816.0,"(12, 26)",3.364391815005108,8.671921305071967,0.0014760660567196865,0.020245127801749307
817.0,"(12, 25)",3.294629981929824,8.798518534350803,0.001530848718540346,0.02374966799492738
818.0,"(12, 24)",3.391701718972604,8.920181608805846,0.001593962716273193,0.025242950707626305
819.0,"(12, 23)",3.7839741459804297,9.037794088831621,0.0016496765425853283,0.020909488080262953
820.0,"(12, 22)",3.477485276150238,9.152032490278641,0.0017016743054749145,0.017793828662182903
821.0,"(12, 21)",3.4428634981196415,9.263344912959678,0.0017428762585166137,0.016026781481134567
